unsat-epsilon,sat-epsilon,original-prediction,sat-prediction
35.48583984375,35.491943359375,5,9
26.312255859375,26.318359375,4,3
29.06494140625,29.071044921875,1,4
25.634765625,25.640869140625,8,4
22.705078125,22.711181640625,8,3
27.05078125,27.056884765625,6,1
26.483154296875,26.4892578125,3,9
27.606201171875,27.6123046875,9,5
31.085205078125,31.09130859375,7,3
25.091552734375,25.09765625,3,4
26.556396484375,26.5625,6,9
22.467041015625,22.47314453125,8,3
25.62255859375,25.628662109375,4,3
24.835205078125,24.84130859375,6,9
28.314208984375,28.3203125,3,9
27.05078125,27.056884765625,3,2
27.44140625,27.447509765625,0,3
29.193115234375,29.19921875,3,4
29.632568359375,29.638671875,4,8
30.462646484375,30.46875,3,9
